name;code;country;timezone
"CXA";"CXAC";"Australia";"Australia/Sydney"
"ASX";"XASX";"Australia";"Australia/Sydney"
"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"TSX";"XTSE";"Canada";"America/Toronto"
"NEO";"NEOE";"Canada";"America/Toronto"
"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext";"XPAR";"France";"Europe/Paris"
"XETR";"XETR";"Germany";"Europe/Berlin"
"XBER";"XBER";"Germany";"Europe/Berlin"
"XSTU";"XSTU";"Germany";"Europe/Berlin"
"XHAN";"XHAN";"Germany";"Europe/Berlin"
"Munich";"XMUN";"Germany";"Europe/Berlin"
"FSX";"XFRA";"Germany";"Europe/Berlin"
"XDUS";"XDUS";"Germany";"Europe/Berlin"
"XHAM";"XHAM";"Germany";"Europe/Berlin"
"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"BSE";"XBOM";"India";"Asia/Kolkata"
"NSE";"XNSE";"India";"Asia/Kolkata"
"ISE";"XDUB";"Ireland";"Europe/Dublin"
"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"MTA";"XMIL";"Italy";"Europe/Rome"
"JPX";"XJPX";"Japan";"Asia/Tokyo"
"BMV";"XMEX";"Mexico";"America/Mexico_City"
"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"OSE";"XOSL";"Norway";"Europe/Oslo"
"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"MOEX";"MISX";"Russia";"Europe/Moscow"
"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"SGX";"XSES";"Singapore";"Asia/Singapore"
"KRX";"XKRX";"South Korea";"Asia/Seoul"
"BME";"XMAD";"Spain";"Europe/Madrid"
"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"SIX";"XSWX";"Switzerland";"Europe/Zurich"
"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"SET";"XBKK";"Thailand";"Asia/Bangkok"
"LSE";"XLON";"United Kingdom";"Europe/London"
"OTC";"Pink";"United States";"America/New_York"
"OTC";"OTCQX";"United States";"America/New_York"
"CBOE";"BATS";"United States";"America/New_York"
"NASDAQ";"XNMS";"United States";"America/New_York"
"NASDAQ";"XNGS";"United States";"America/New_York"
"NYSE";"ARCX";"United States";"America/New_York"
"NYSE";"XNYS";"United States";"America/New_York"
"NYSE";"XASE";"United States";"America/New_York"
"OTC";"Grey";"United States";"America/New_York"
"OTC";"Expert Market";"United States";"America/New_York"
