name;code;country;timezone
"BCBA";"XBUE";"Argentina";"America/Argentina/Buenos_Aires"
"CXA";"CXAC";"Australia";"Australia/Sydney"
"ASX";"XASX";"Australia";"Australia/Sydney"
"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"BSE";"XBOT";"Botswana";"Africa/Gaborone"
"Bovespa";"BVMF";"Brazil";"America/Paramaribo"
"TSX";"XTSE";"Canada";"America/Toronto"
"TSXV";"XTSX";"Canada";"America/Toronto"
"NEO";"NEOE";"Canada";"America/Toronto"
"CSE";"XCNQ";"Canada";"America/Toronto"
"BVS";"XSGO";"Chile";"America/Santiago"
"SZSE";"XSHE";"China";"Asia/Shanghai"
"SSE";"XSHG";"China";"Asia/Shanghai"
"BVC";"XBOG";"Colombia";"America/New_York"
"PSE";"XPRA";"Czech Republic";"Europe/Prague"
"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"DSME";"DSME";"Denmark";"Europe/Copenhagen"
"EGX";"XCAI";"Egypt";"Africa/Cairo"
"OMXT";"XTAL";"Estonia";"Europe/Tallinn"
"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext";"XPAR";"France";"Europe/Paris"
"XHAM";"XHAM";"Germany";"Europe/Berlin"
"XBER";"XBER";"Germany";"Europe/Berlin"
"XSTU";"XSTU";"Germany";"Europe/Berlin"
"Munich";"XMUN";"Germany";"Europe/Berlin"
"XETR";"XETR";"Germany";"Europe/Berlin"
"FSX";"XFRA";"Germany";"Europe/Berlin"
"XDUS";"XDUS";"Germany";"Europe/Berlin"
"XHAN";"XHAN";"Germany";"Europe/Berlin"
"ASE";"ASEX";"Greece";"Europe/Athens"
"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"BSE";"XBUD";"Hungary";"Europe/Budapest"
"ICEX";"XICE";"Iceland";"Atlantic/Reykjavik"
"BSE";"XBOM";"India";"Asia/Kolkata"
"NSE";"XNSE";"India";"Asia/Kolkata"
"IDX";"XIDX";"Indonesia";"Asia/Jakarta"
"XMSM";"XMSM";"Ireland";"Europe/Dublin"
"ISE";"XDUB";"Ireland";"Europe/Dublin"
"XESM";"XESM";"Ireland";"Europe/Dublin"
"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"MTA";"XMIL";"Italy";"Europe/Rome"
"JSE";"XJAM";"Jamaica";"America/Jamaica"
"JPX";"XJPX";"Japan";"Asia/Tokyo"
"XSAP";"XSAP";"Japan";"Asia/Tokyo"
"XKUW";"XKUW";"Kuwait";"Asia/Kuwait"
"OMXR";"XRIS";"Latvia";"Europe/Riga"
"OMXV";"XLIT";"Lithuania";"Europe/Vilnius"
"MYX";"XKLS";"Malaysia";"Asia/Kuala_Lumpur"
"BMV";"XMEX";"Mexico";"America/Mexico_City"
"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"NZX";"XNZE";"New Zealand";"Pacific/Auckland"
"OSE";"XOSL";"Norway";"Europe/Oslo"
"PSE";"XPHS";"Philippines";"Asia/Manila"
"GPW";"XWAR";"Poland";"Europe/Warsaw"
"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"QE";"DSMD";"Qatar";"Asia/Qatar"
"BVB";"XBSE";"Romania";"Europe/Bucharest"
"MOEX";"MISX";"Russia";"Europe/Moscow"
"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"SGX";"XSES";"Singapore";"Asia/Singapore"
"JSE";"XJSE";"South Africa";"Africa/Johannesburg"
"KRX";"XKRX";"South Korea";"Asia/Seoul"
"KOSDAQ";"XKOS";"South Korea";"Asia/Seoul"
"KONEX";"XKON";"South Korea";"Asia/Seoul"
"BME";"XMAD";"Spain";"Europe/Madrid"
"SSME";"SSME";"Sweden";"Europe/Stockholm"
"Spotlight Stock Market";"XSAT";"Sweden";"Europe/Stockholm"
"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"SIX";"XSWX";"Switzerland";"Europe/Zurich"
"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"SET";"XBKK";"Thailand";"Asia/Bangkok"
"BIST";"XIST";"Turkey";"Europe/Istanbul"
"ADX";"XADS";"United Arab Emirates";"Asia/Dubai"
"NDXB";"DIFX";"United Arab Emirates";"Asia/Dubai"
"LSE";"XLON";"United Kingdom";"Europe/London"
"OTC";"Pink";"United States";"America/New_York"
"OTC";"OTCQB";"United States";"America/New_York"
"OTC";"OTCQX";"United States";"America/New_York"
"CBOE";"BATS";"United States";"America/New_York"
"NASDAQ";"XNCM";"United States";"America/New_York"
"NASDAQ";"XNMS";"United States";"America/New_York"
"NASDAQ";"XNAS";"United States";"America/New_York"
"NASDAQ";"XNGS";"United States";"America/New_York"
"NYSE";"ARCX";"United States";"America/New_York"
"NYSE";"XASE";"United States";"America/New_York"
"NYSE";"XNYS";"United States";"America/New_York"
"OTC";"Grey";"United States";"America/New_York"
"OTC";"Expert Market";"United States";"America/New_York"
"BVCC";"BVCA";"Venezuela";"America/Caracas"
