,Ticker,Stock Price,Market Capitalisation,Number of Shares to Buy
0,MMM,93.075,51346870272,N/A
1,AOS,64.195,9657624576,N/A
2,ABT,101.38,176294739968,N/A
3,ABBV,131.36,231757135872,N/A
4,ACN,303.985,192130662400,N/A
5,ATVI,80.055,62935957504,N/A
6,ADM,70.415,38350475264,N/A
7,ADBE,419.94,192626475008,N/A
8,ADP,208.99,86338576384,N/A
9,AAP,68.205,4053675520,N/A
10,AES,19.7,13185920000,N/A
11,AFL,64.48,38960558080,N/A
12,A,116.495,34409828352,N/A
13,APD,270.325,60045406208,N/A
14,AKAM,92.02,14005627904,N/A
15,ALK,44.6352,5709332992,N/A
16,ALB,193.755,22734436352,N/A
17,ARE,111.77,19337775104,N/A
18,ALGN,286.125,21893427200,N/A
19,ALLE,103.83,9131506688,N/A
20,LNT,50.61,12722746368,N/A
21,ALL,106.975,28118591488,N/A
22,GOOGL,123.94,1579379851264,N/A
23,GOOG,124.505,1574228721664,N/A
24,MO,44.67,79737733120,N/A
25,AMZN,121.29,1244483944448,N/A
26,AMCR,9.665,14221467648,N/A
27,AMD,118.6,190988697600,N/A
28,AEE,80.15,21048111104,N/A
29,AAL,14.705,9600350208,N/A
30,AEP,81.715,42066145280,N/A
31,AXP,159.03,118197616640,N/A
32,AIG,53.415,38659268608,N/A
33,AMT,185.798,86589857792,N/A
34,AWK,142.7,27775698944,N/A
35,AMP,301.67,31759517696,N/A
36,ABC,170.29,34428039168,N/A
37,AME,145.36,33501847552,N/A
38,AMGN,212.63,113613955072,N/A
39,APH,75.02,44660826112,N/A
40,ADI,179.355,89931816960,N/A
41,ANSS,320.73,27794878464,N/A
42,AON,309.38,63189626880,N/A
43,APA,31.57,9742470144,N/A
44,AAPL,177.25,2787912187904,N/A
45,AMAT,133.6,112190201856,N/A
46,APTV,88.71,23996585984,N/A
47,ACGL,69.5,25883398144,N/A
48,ANET,166.67,51381526528,N/A
49,AJG,199.31,42701369344,N/A
50,AIZ,120.43,6401047040,N/A
51,T,15.6695,112021258240,N/A
52,ATO,112.55,16262012928,N/A
53,ADSK,199.61,42747080704,N/A
54,AZO,2364.97,43101577216,N/A
55,AVB,173.49,24635408384,N/A
56,AVY,160.43,13012316160,N/A
57,AXON,193.98,14332269568,N/A
58,BKR,27.505,28037496832,N/A
